n,tree_type,avg_search_time_s
100,balanced,2.8466650595267613e-05
100,degenerate,0.00014009994144241014
500,balanced,0.0002728333541502555
500,degenerate,0.004296833261226614
1000,balanced,0.0007089665935685238
1000,degenerate,0.023253000030914944
3000,balanced,0.0008764666660378376
3000,degenerate,0.0788952000439167
5000,balanced,0.0014498999031881492
5000,degenerate,0.13744663330726326
